"Sp","Rep","Trtmt","HDate","ExpTray","Tray","Row","Col","Survival","Height","Branches","Lvs","WetWt","DryWt","WetLWt","DryLWt","Notes","WaterWt","LWaterWt","Analysis","X","X.1","X.2","logHeight","sqrtHeight","rankHeight","LogBranches","sqrtBranches","rankBranches","LogLvs","sqrtLvs","rankLvs","LogWetWt","sqrtWetWt","rankWetWt","LogDryWt","sqrtDryWt","rankDryWt","LogWetLWt","sqrtWetLWt","rankWetLWt","LogDryLWt","sqrtDryLWt","rankDryLWt","LogWaterWt","sqrtWaterWt","rankWaterWt","LogLWaterWt","sqrtLWaterWt","rankLWaterWt","WatC","LogWatC","sqrtWatC","rankWatC","LWatC","LogLWatC","sqrtLWatC","rankLWatC"
"Basil","1","0","9-Aug-16","1","1","9","2","1",8.2,1,10,0.71,0.04,0.48,0.01,"",0.67,0.47,3,NA,NA,NA,0.963787827345555,2.94957624075052,14,0.301029995663981,1.22474487139159,20,1.04139268515823,3.24037034920393,90.5,0.232996110392154,1.1,14,0.0170333392987804,0.734846922834953,97.5,0.170261715394957,0.989949493661167,19,0.00432137378264258,0.714142842854285,235.5,0.222716471147583,1.0816653826392,14,0.167317334748176,0.98488578017961,20.5,94.3661971830986,1.97939446507835,9.73992798654582,920,97.9166666666667,1.99526947290697,9.92051745962209,945
"Basil","1","0","9-Aug-16","1","1","9","3","1",21.7,8,14,6.06,0.77,4.04,0.44,"",5.29,3.6,3,NA,NA,NA,1.35602585719312,4.7116875957559,261.5,0.954242509439325,2.91547594742265,388,1.17609125905568,3.80788655293195,330.5,0.848804701051804,2.56124969497314,450.5,0.247973266361807,1.12694276695846,674,0.702430536445525,2.13072757526625,554.5,0.15836249209525,0.969535971483266,777.5,0.798650645445269,2.40624188310319,443,0.662757831681574,2.02484567313166,531,87.2937293729373,1.94592986104718,9.36983080812761,315,89.1089108910891,1.95476774058475,9.46619833360199,363
"Basil","1","0","9-Aug-16","1","1","9","4","1",14.2,8,24,3.35,0.15,2.43,0.05,"",3.2,2.38,3,NA,NA,NA,1.18184358794477,3.83405790253616,39,0.954242509439325,2.91547594742265,388,1.39794000867204,4.94974746830583,601,0.638489256954637,1.96214168703486,147,0.0606978403536116,0.806225774829855,151,0.535294120042771,1.71172427686237,255,0.0211892990699381,0.741619848709566,281,0.6232492903979,1.92353840616713,187.5,0.528916700277655,1.69705627484771,321.5,95.5223880597015,1.98462805824629,9.79910139041849,1004,97.9423868312757,1.99538238283379,9.9218136865835,947
"Basil","1","0","9-Aug-16","2","2","1","2","1",18.2,6,12,3.45,0.35,2.2,0.17,"",3.1,2.03,3,NA,NA,NA,1.28330122870355,4.32434966208793,121,0.845098040014257,2.54950975679639,173.5,1.11394335230684,3.53553390593274,216.5,0.648360010980932,1.98746069143518,157,0.130333768495006,0.921954445729289,287,0.505149978319906,1.6431676725155,192,0.0681858617461616,0.818535277187245,409,0.612783856719735,1.89736659610103,175,0.481442628502305,1.59059737205869,219,89.8550724637681,1.9583491791017,9.50552852101177,542,92.2727272727273,1.96975467561757,9.63186001106366,581
"Basil","1","0","9-Aug-16","2","2","1","3","1",22.4,8,17,4.51,0.6,2.82,0.33,"",3.91,2.49,3,NA,NA,NA,1.36921585741014,4.78539444560216,295.5,0.954242509439325,2.91547594742265,388,1.25527250510331,4.18330013267038,424,0.741151598851785,2.23830292855994,319,0.204119982655925,1.04880884817015,538,0.582063362911709,1.82208671582886,352.5,0.123851640967086,0.91104335791443,628.5,0.691081492122968,2.1,312.5,0.54282542695918,1.72916164657906,344,86.6962305986696,1.94298092671405,9.33789219249556,269,88.2978723404255,1.95084111127577,9.42326229818663,325
"Basil","1","0","9-Aug-16","2","2","1","4","1",11.4,4,8,3.08,0.28,2.07,0.16,"",2.8,1.91,3,NA,NA,NA,1.09342168516224,3.44963766213207,22.5,0.698970004336019,2.12132034355964,75.5,0.954242509439325,2.91547594742265,29.5,0.61066016308988,1.89208879284245,117,0.107209969647868,0.883176086632785,226,0.487138375477186,1.60312195418814,165.5,0.0644579892269184,0.812403840463596,396,0.57978359661681,1.81659021245849,127,0.463892988985907,1.552417469626,183.5,90.9090909090909,1.96335847043278,9.56081015966173,646.5,92.2705314009662,1.96974445112599,9.63174602037274,580
"Basil","1","0","9-Aug-16","2","2","2","1","1",26.4,10,24,7.18,1,4.21,0.55,"",6.18,3.66,3,NA,NA,NA,1.43775056282039,5.18652099195598,466.5,1.04139268515823,3.24037034920393,705,1.39794000867204,4.94974746830583,601,0.912753303671323,2.7712812921102,519,0.301029995663981,1.22474487139159,838,0.716837723299524,2.17025344142107,576,0.190331698170291,1.02469507659596,932,0.8561244442423,2.58456959666402,502,0.66838591669,2.03960780543711,548.5,86.0724233983287,1.93988063190496,9.3044303102516,235,86.9358669833729,1.9441660497702,9.35071478462331,261
"Basil","1","0","9-Aug-16","2","2","2","2","1",22.7,7,22,5.63,0.6,3.49,0.33,"",5.03,3.16,3,NA,NA,NA,1.3747483460101,4.81663783151692,307.5,0.903089986991944,2.73861278752583,250.5,1.36172783601759,4.74341649025257,540,0.821513528404773,2.47588368062799,416,0.204119982655925,1.04880884817015,538,0.652246341003323,1.99749843554382,463.5,0.123851640967086,0.91104335791443,628.5,0.780317312140151,2.35159520326097,420.5,0.619093330626743,1.9131126469709,470,89.3428063943162,1.95589357728842,9.47854452932074,484,90.5444126074499,1.96163184238098,9.54171958335864,451
"Basil","1","0","9-Aug-16","2","2","2","3","1",19.8,4,14,4.1,0.47,2.73,0.28,"",3.63,2.45,3,NA,NA,NA,1.31806333496276,4.50555213042752,178.5,0.698970004336019,2.12132034355964,75.5,1.17609125905568,3.80788655293195,330.5,0.707570176097936,2.14476105895272,266.5,0.167317334748176,0.98488578017961,401.5,0.571708831808688,1.79722007556114,328.5,0.107209969647868,0.883176086632785,561,0.665580991017953,2.03224014329016,277,0.537819095073274,1.71755640373177,334.5,88.5365853658537,1.95200052778425,9.43591995334073,412,89.7435897435898,1.95781595561102,9.49966261209259,402
"Basil","1","0","9-Aug-16","2","2","2","4","1",16.8,6,20,3.65,0.39,2.37,0.22,"",3.26,2.15,3,NA,NA,NA,1.25042000230889,4.15932686861708,90.5,0.845098040014257,2.54950975679639,173.5,1.32221929473392,4.52769256906871,493,0.667452952889954,2.03715487874634,193,0.143014800254095,0.94339811320566,319.5,0.527629900871339,1.69410743460974,235.5,0.0863598306747482,0.848528137423857,479.5,0.629409599102719,1.93907194296653,198.5,0.4983105537896,1.62788205960997,248.5,89.3150684931507,1.95576021562325,9.47708122225143,480,90.7172995780591,1.96245125936348,9.55077481558743,457
"Basil","1","0","9-Aug-16","2","2","3","1","1",23.2,8,22,3.92,0.43,2.4,0.25,"",3.49,2.15,3,NA,NA,NA,1.38381536598043,4.86826457785523,331.5,0.954242509439325,2.91547594742265,388,1.36172783601759,4.74341649025257,540,0.69196510276736,2.10237960416286,236.5,0.155336037465062,0.964365076099295,359.5,0.531478917042255,1.70293863659264,243.5,0.0969100130080564,0.866025403784439,523.5,0.652246341003323,1.99749843554382,245.5,0.4983105537896,1.62788205960997,248.5,89.030612244898,1.95439020353424,9.46206173330622,456,89.5833333333333,1.95704829803867,9.49122401660257,394.5
"Basil","1","0","9-Aug-16","2","2","3","2","1",15.7,6,17,3.12,0.22,1.9,0.11,"",2.9,1.79,3,NA,NA,NA,1.22271647114758,4.02492235949962,64.5,0.845098040014257,2.54950975679639,173.5,1.25527250510331,4.18330013267038,424,0.614897216033135,1.90262975904404,120.5,0.0863598306747482,0.848528137423857,185,0.462397997898956,1.54919333848297,129,0.0453229787866575,0.781024967590665,343,0.591064607026499,1.84390889145858,142,0.445604203273598,1.51327459504216,153.5,92.9487179487179,1.97289085796931,9.66688770746397,816,94.2105263157895,1.97868496590698,9.73193332877849,733.5
"Basil","1","0","9-Aug-16","2","2","3","3","1",17.2,6,10,2.59,0.16,1.59,0.06,"",2.43,1.53,3,NA,NA,NA,1.26007138798507,4.20713679359253,95.5,0.845098040014257,2.54950975679639,173.5,1.04139268515823,3.24037034920393,90.5,0.555094448578319,1.75783958312469,67.5,0.0644579892269184,0.812403840463596,155.5,0.413299764081252,1.4456832294801,75,0.0253058652647703,0.748331477354788,289.5,0.535294120042771,1.71172427686237,81.5,0.403120521175818,1.4247806848775,102,93.8223938223938,1.9769109150278,9.71197167532906,879,96.2264150943396,1.98778427286029,9.83495882524882,859
